instance_id,instance_size,min_span_tree_weight,algorithm_id,tour_length,runtime
107,6,1560.4376863426407,3,2898.1113333386893,0.029999762773513794
108,6,1405.4763704564978,0,2223.836404599667,0.029999762773513794
111,6,1273.9065701080567,1,2058.067905548666,0.029999762773513794
113,6,1383.1048838821623,0,2290.39451010609,0.029999762773513794
115,6,1858.4780981839722,1,2542.4046978469905,0.029999762773513794
117,6,1399.5752815840424,0,1935.6216336365726,0.029999762773513794
123,6,1598.3832133569906,3,3036.3959700289693,0.029999762773513794
130,6,2174.8787760123178,3,4155.42425486974,0.029999762773513794
131,6,1560.4092556311618,0,2245.7498969844355,0.029999762773513794
131,6,1560.4092556311618,3,2937.081466772354,0.029999762773513794
132,6,1337.5332146712537,0,2039.3126270532666,0.029999762773513794
134,6,1885.1618290065333,0,2574.483959798806,0.029999762773513794
135,6,1369.2907639030846,0,2110.868136804928,0.029999762773513794
137,6,1017.8575657436363,0,1631.3755522404508,0.029999762773513794
140,6,1778.0970105317167,1,2588.6406552541976,0.029999762773513794
141,6,1789.950292093806,0,2555.739427561266,0.029999762773513794
144,6,1430.9042477495734,0,2246.9006469440005,0.029999762773513794
144,6,1430.9042477495734,1,2246.900646943997,0.029999762773513794
146,6,1915.0179651898738,0,2952.000505092749,0.029999762773513794
114,6,1604.4828056312322,0,2132.269414382892,0.025000423192977905
119,6,2159.622884786166,0,3241.8742943785182,0.025000423192977905
126,6,1662.3442575428194,1,2656.4212166494817,0.025000423192977905
106,6,1654.6631381805107,0,2211.6873746370584,0.024999957531690598
106,6,1654.6631381805107,1,2211.68737463706,0.024999957531690598
107,6,1560.4376863426407,0,2449.500611896341,0.024999957531690598
107,6,1560.4376863426407,1,2449.50061189634,0.024999957531690598
109,6,1511.9547528925634,0,2466.964448447596,0.024999957531690598
109,6,1511.9547528925634,1,2466.964448447596,0.024999957531690598
110,6,1398.1023093473846,0,2086.758649673596,0.024999957531690598
111,6,1273.9065701080567,0,2058.067905548666,0.024999957531690598
113,6,1383.1048838821623,1,2290.3945101060895,0.024999957531690598
116,6,1305.094030254039,0,2209.7553414463746,0.024999957531690598
118,6,1229.2437905291167,0,1993.0719962654043,0.024999957531690598
118,6,1229.2437905291167,1,1993.0719962654046,0.024999957531690598
120,6,1554.9766686566595,1,2594.455361463727,0.024999957531690598
124,6,1189.8681062157925,1,2064.4633081680936,0.024999957531690598
125,6,1279.4278726308407,0,2231.2329094032657,0.024999957531690598
125,6,1279.4278726308407,1,2231.232909403266,0.024999957531690598
126,6,1662.3442575428194,0,2656.421216649483,0.024999957531690598
